unit;rzb_cdr_counterparty_code;entity_type;entity_type_desc;rzb_cdr_counterparty_name;rzb_cdr_internal_rating;rzb_cdr_ead_pre_ccf;rzb_cdr_ead_pre_ccf;cc;cc1;dqi_check
RBBH;224996;57;Collective Investment Undertaking (CIU);ZIF BOSFIN DD SARAJEVO;FUND_D;178512.1764;178512.1764;224996;224996;OK
RBRO;662332;62;Retail customers with Non-Retail treatment;;CORP_10;26427.66543;26427.66543;662332;;OK
RBRU;1461797;3;Corporates;TRANKO LTD;CORP_10;387894.6234;387894.6234;1461797;1461797;OK
RBRO;106644;6;Small Medium Business (SMB);IATAN COMPANY SRL;SME_10;437.1653703;437.1653703;106644;;OK
RBRU;713562;6;Small Medium Business (SMB);IEN KSENZOV SERGEI-ANATOLEVICH;SME_10;108896.4301;108896.4301;713562;713562;OK
RBAL;677984;3;Corporates;ALBA SHOES GROUP;CORP_10;368641.19;368641.19;677984;677984;OK
AVAL;710738;6;Small Medium Business (SMB);"TOV ""Iug-Servis""";SME_10;7.188518904;7.188518904;;;OK
RBI;1858824;3;Corporates;"""Österreich""-Zeitungsverlag GmbH";CORP_10;1437922.76;1437922.76;1858824;1858824;OK
RBRO;1496044;6;Small Medium Business (SMB);ZIGMAN SRL;SME_10;125794.1388;125794.1388;1496044;1496044;OK
ALEASS;1330258;3;Corporates;C.C.F.C. S.R.L. CENTRO COSTRUZIONI-FURGONATURE E CONTAINERS;CORP_10;6400.01;6400.01;1330258;1330258;OK
RBRO;710951;6;Small Medium Business (SMB);VERO MODA KIDS SRL;SME_10;241.411682;241.411682;710951;710951;OK
RBRS;175015;6;Small Medium Business (SMB);SUVOBOR KOOP NN;SME_10;148388.3311;148388.3311;175015;175015;OK
RBCZ;245147;3;Corporates;GLOBAL TRAVEL SPOL S R O;CORP_10;1036656.163;1036656.163;245147;245147;OK
TLSK;1521756;6;Small Medium Business (SMB);clamoris s.r.o.;SME_10;60655.44;60655.44;1521756;1521756;OK
RLRO;123146;4;Government-Owned Commercial Undertaking;AEROPORTUL CLUJ NAPOCA;CORP_10;261886.3464;261886.3464;123146;;OK
RBRO;1361896;39;Associations;ASOCIATIA TAURINE RANCHERS JIDVEI;CORP_10;387.3643803;387.3643803;1361896;1361896;OK
AVAL;290357;6;Small Medium Business (SMB);SPD ISAIENKO N.  M.;SME_10;5051.793276;5051.793276;290357;290357;OK
RLCZ;170185;3;Corporates;RUPA TEXTIL S.R.O.;CORP_10;44107.73;44107.73;170185;170185;OK
TBSK;1813185;6;Small Medium Business (SMB);RvR - BA 1 s. r. o.;SME_10;10990.28;10990.28;1813185;1813185;OK
RBRS;737836;6;Small Medium Business (SMB);GRAFOFLEX DOO SREMSKA MITROVICA;SME_10;460.270161;460.270161;737836;737836;OK
RBHR;154531;3;Corporates;BRANA D.O.O.;CORP_10;753499.9521;753499.9521;154531;154531;OK
RLHR;1030981;6;Small Medium Business (SMB);VENUS D.O.O.;SME_10;6440.552126;6440.552126;1030981;1030981;OK
RBBH;307425;6;Small Medium Business (SMB);MEGA SPORT DOO MOSTAR;SME_10;82771.836;82771.836;307425;307425;OK
RBHU;1893140;3;Corporates;AIK Energy Hungary Kft.;CORP_10;105.7288567;105.7288567;1893140;1893140;OK
ALEASS;702082;6;Small Medium Business (SMB);QUATTRO C S.R.L.;SME_10;209479.99;209479.99;702082;;OK
RBRS;649712;6;Small Medium Business (SMB);AU NEOPHARMA;SME_10;19273.92763;19273.92763;649712;649712;OK
RBRS;1347410;6;Small Medium Business (SMB);PROFY SUPPORT DOO BEOGRAD;SME_10;21.3791228;21.3791228;1347410;1347410;OK
AVAL;219628;6;Small Medium Business (SMB);"PP Hosprozrakhunkova firma-""Kamaz-Trans-Mukachevo""";SME_10;7522.388124;7522.388124;219628;219628;OK
RLAL;1515607;3;Corporates;ALBA EXOTIC FRUIT SHPK-RR ENRIKO TELLINI ISH KOMBINATI TEK;CORP_10;55087.53;55087.53;1515607;1515607;OK
RBHU;1494149;3;Corporates;FLY MUSIC SRL;CORP_10;25.3;25.3;1494149;1494149;OK
AVAL;216706;6;Small Medium Business (SMB);"PSP ""Vyselok""";SME_10;511047.9078;511047.9078;216706;216706;OK
TBSK;207883;6;Small Medium Business (SMB);ATV druzstvo Strazske;SME_10;147461.88;147461.88;207883;;OK
RBHR;703539;6;Small Medium Business (SMB);MARKOVIC I PARTNERI ODVJETNICKO DRU-STVO D.O.O.;SME_10;43458.78063;43458.78063;703539;703539;OK
RLBY1;875198;6;Small Medium Business (SMB);OOO 'FRUT STAR';SME_10;817;817;875198;875198;OK
RLCZ;793705;6;Small Medium Business (SMB);P&P transport and travel agency s.r;SME_10;631123.56;631123.56;793705;793705;OK
RBCZ;304651;3;Corporates;MAN TECH TRADING A S;CORP_10;116893.9767;116893.9767;304651;304651;OK
CASRS;2180517;6;Small Medium Business (SMB);500 FOR YOU DOO NOVI SAD;SME_10;13.2225389;13.2225389;;2180517;ERROR
RBBY;564392;6;Small Medium Business (SMB);"""skantek polimer"" chastnoe proizvod-stvennoe unitarnoe predpriyatie";SME_10;130782.9298;130782.9298;564392;564392;OK
RBRO;669889;6;Small Medium Business (SMB);TOTAL DISPLAY MEDIA SRL;SME_10;2561.792101;2561.792101;669889;669889;OK
RBRO;1323618;6;Small Medium Business (SMB);BALDOR COM IMPEX SRL;SME_10;26081.53753;26081.53753;1323618;1323618;OK
RBAL;281021;3;Corporates;"""Uldedaj Lis"" sh.p.k-""Oryap Ormancilik"" l.t.d";CORP_10;1372.51795;1372.51795;281021;281021;OK
RBBY;313475;6;Small Medium Business (SMB);INTERMET ODO;SME_10;57953.39549;57953.39549;313475;313475;OK
RBRU;678929;6;Small Medium Business (SMB);IEN BELOUS IRINA VYACHESLAVOVNA;SME_10;181506.189;181506.189;678929;678929;OK
RBRU;1589974;6;Small Medium Business (SMB);KOLOMEITSEVA LYUBOV;SME_10;134684.9079;134684.9079;1589974;1589974;OK
RBRU;1876395;6;Small Medium Business (SMB);RADUGA OOO;SME_10;285537.061;285537.061;1876395;1876395;OK
RLRS;488492;6;Small Medium Business (SMB);PSS;SME_10;4102.5;4102.5;488492;;OK
TBSK;1810632;3;Corporates;Slnecne zahrady Slazany - druzstvo;CORP_10;500000;500000;1810632;1810632;OK
AVAL;873424;6;Small Medium Business (SMB);"FH ""Fursa O.I.""";SME_10;108010.3011;108010.3011;873424;873424;OK
RBRO;715966;6;Small Medium Business (SMB);PINUS MONTANA SRL;SME_10;286.85;286.85;715966;715966;OK
RBRS;1250718;6;Small Medium Business (SMB);HYDROTERRA DOO PANÈEVO;SME_10;179.7008924;179.7008924;1250718;1250718;OK
RBHR;107893;3;Corporates;GORAN INZENJERING D.O.O.;CORP_10;5200.911805;5200.911805;107893;;OK
RBBH;885137;6;Small Medium Business (SMB);DIDONA DOO TUZLA;SME_10;449.6965483;449.6965483;885137;885137;OK
RBHR;137490;3;Corporates;RONIS D.O.O.;CORP_10;680989.0631;680989.0631;137490;137490;OK
AVAL;218052;3;Corporates;"SVK""Rodyna""";CORP_10;6.994428894;6.994428894;218052;218052;OK
RBRO;507869;3;Corporates;WIND ENERGY SERVICE EAST EUROPE SRL;CORP_10;1.377814931;1.377814931;507869;507869;OK
RBRS;1312174;6;Small Medium Business (SMB);STR SANJA;SME_10;23471.11614;23471.11614;1312174;1312174;OK
RBBH;920421;6;Small Medium Business (SMB);BE HARM DOO SARAJEVO;SME_10;43581.26729;43581.26729;920421;920421;OK
RBRO;196559;6;Small Medium Business (SMB);DGTECH INTERNATIONAL SRL;SME_10;1632.31884;1632.31884;196559;196559;OK
RBRO;693719;3;Corporates;GRAPHTECH SRL;CORP_10;65.43691283;65.43691283;;;OK
RBBH;127168;6;Small Medium Business (SMB);BOSANAC DD ORASJE;SME_10;25948.06297;25948.06297;127168;127168;OK
AVAL;757410;6;Small Medium Business (SMB);"FH ""NYVA""";SME_10;179934.0206;179934.0206;757410;757410;OK
RBRO;282019;6;Small Medium Business (SMB);AICOM SRL;SME_10;235.4237802;235.4237802;282019;282019;OK
RBRO;1865938;6;Small Medium Business (SMB);ROMARC OVIDIU DESIGN SRL;SME_10;109.7332327;109.7332327;;;OK
AVAL;1979567;6;Small Medium Business (SMB);"TOV ""Linkorstroyhrup""";SME_10;5866.358241;5866.358241;1979567;1979567;OK
TLSK;1360044;6;Small Medium Business (SMB);Dimako Slovakia s. r. o.;SME_10;132237.62;132237.62;1360044;1360044;OK
RBRS;303824;6;Small Medium Business (SMB);PD FEVFKI DOO ALEKSINAC;SME_10;15286.76595;15286.76595;303824;303824;OK
RLCZ;1411640;6;Small Medium Business (SMB);BEMA Vaclav Benes s.r.o.;SME_10;64252.26787;64252.26787;1411640;1411640;OK
RLAL;605381;3;Corporates;VICTORIA INVEST SHPK;CORP_10;34907.99;34907.99;605381;605381;OK
RBHR;1916934;3;Corporates;POWERGLOBE IKE;CORP_10;4668.71;4668.71;1916934;1916934;OK
RBBH;166210;6;Small Medium Business (SMB);AUTOMEHANIKA DD SARAJEVO;SME_10;37455.56618;37455.56618;166210;;OK
AVAL;219852;6;Small Medium Business (SMB);"FH ""Itoh""";SME_10;281587.1031;281587.1031;219852;219852;OK
RBI;172867;3;Corporates;Ojsc Alchevsk Iron & Steel-Works;CORP_10;14240.58;14240.58;172867;;OK
RLRO;134868;6;Small Medium Business (SMB);PITRAN SRL;SME_10;12696.2751;12696.2751;134868;134868;OK
RBHU;535543;3;Corporates;Waberer's International Nyilvanosan-Mukoedo Reszvenytarsasag;CORP_10;1912212.9;1912212.9;535543;535543;OK
RBBH;303797;3;Corporates;MILKOS DOO SARAJEVO;CORP_10;91.57237592;91.57237592;;;OK
RBBY;1811733;6;Small Medium Business (SMB);VIVIENTE CHTUP;SME_10;118979.8909;118979.8909;1811733;1811733;OK
RBRO;516703;6;Small Medium Business (SMB);CON-TRIM;SME_10;210.4192343;210.4192343;516703;516703;OK
RBI;42788;36;Private Individual (Non-Retail);;CORP_10;200000.6;200000.6;42788;;OK
RLRO;600834;3;Corporates;TEAMNET INTERNATIONAL SA;CORP_10;207195.4218;207195.4218;600834;600834;OK
RBRS;1218323;3;Corporates;AQUALIA INFRAESTRUCTURAS D.O.O.;CORP_10;954.6259697;954.6259697;1218323;1218323;OK
RLRO;807269;6;Small Medium Business (SMB);INNOSERV-TECHNOLOGY SRL;SME_10;42306.2376;42306.2376;807269;807269;OK
RBRO;653096;6;Small Medium Business (SMB);RESTANT;SME_10;470.6172342;470.6172342;653096;653096;OK
RBRO;805168;6;Small Medium Business (SMB);SELENIT SRL;SME_10;292629.7364;292629.7364;805168;805168;OK
TBSK;1544921;18;Specialised Lending Project (excl. Commodity);M.HOUSE s.r.o.;SLOT_RE_6.5;502249.54;502249.54;1544921;1544921;OK
RBI;739355;3;Corporates;ZED+ B.V.;CORP_10;434631.54;434631.54;739355;;OK
RLCZ;323076;3;Corporates;RESIDENCE PARK TREBES S R O;CORP_10;8293.2493;8293.2493;;;OK
RBHU;73397;39;Associations;SZEDERVÖLGYI KÖZ VIZIKÖZMÛ TÁRSULAT;CORP_10;240.423429;240.423429;73397;73397;OK
ALEASS;1865838;6;Small Medium Business (SMB);TECNO WELDS SRL;SME_10;174961.98;174961.98;1865838;1865838;OK
RBAL;722267;6;Small Medium Business (SMB);ROSELIA SHPK;SME_10;86.41;86.41;722267;722267;OK
AVAL;219713;3;Corporates;"SVK ""Liubymivskyi""";CORP_10;201108.5722;201108.5722;219713;219713;OK
RBRO;2028068;6;Small Medium Business (SMB);ROMOLD SECURITY SRL;SME_10;21.52742702;21.52742702;2028068;2028068;OK
CASRS;130353;3;Corporates;ENTERIJER JANKOVIC DOO NOVI SAD;CORP_10;214057.42;214057.42;130353;130353;OK
RBHR;322380;6;Small Medium Business (SMB);BRAVO PUTOVANJA D.O.O.;SME_10;66755.85108;66755.85108;322380;322380;OK
TLSK;1394953;6;Small Medium Business (SMB);GSL - SK, s.r.o.;SME_10;23322.86;23322.86;1394953;1394953;OK
RBRU;1533608;3;Corporates;TUTSI OOO;CORP_10;1340945.308;1340945.308;1533608;1533608;OK
RLRS;153509;3;Corporates;TRANSPETROL DOO;CORP_10;120649.6477;120649.6477;153509;;OK
RBSPK;1560548;18;Specialised Lending Project (excl. Commodity);Brünnerstraße 193-195-Immobilienentwicklung GmbH;SLOT_RE_6.5;2278126.53;2278126.53;1560548;1560548;OK
RBI;71348;12;Central Goverment;Russia, Federation of;SOV_10;3012376.59;3012376.59;;;OK
RBBH;922642;6;Small Medium Business (SMB);TOFI DOO SARAJEVO;SME_10;1664.454477;1664.454477;922642;922642;OK
TLSK;1927438;6;Small Medium Business (SMB);ARIAS, s.r.o.;SME_10;331637.47;331637.47;1927438;1927438;OK
RBRO;248142;6;Small Medium Business (SMB);COOP SOCOM UNIREA PETROSANI;SME_10;11.11829478;11.11829478;;;OK
AVAL;536206;6;Small Medium Business (SMB);TOV AVANTA;SME_10;32366.49044;32366.49044;536206;536206;OK
RBRO;470564;36;Private Individual (Non-Retail);;CORP_10;2743.376099;2743.376099;470564;470564;OK
RBRO;135273;3;Corporates;CLASSIC DOME SRL;CORP_10;4.349934338;4.349934338;;;OK
RBRO;1216407;6;Small Medium Business (SMB);CONEXPERT GROUP SRL;SME_10;142667.9746;142667.9746;1216407;1216407;OK
RBBH;169245;6;Small Medium Business (SMB);PERSIA DOO SARAJEVO;SME_10;63498.40733;63498.40733;169245;169245;OK
RBHR;139186;3;Corporates;B 4 B, D.O.O.;CORP_10;703021.3524;703021.3524;139186;139186;OK
RBHU;733421;6;Small Medium Business (SMB);SKY PLASTICS HUNGARY Kft.;SME_10;9.627327958;9.627327958;733421;733421;OK
RBBH;944341;6;Small Medium Business (SMB);MELISSA NAS DOO BIHAC;SME_10;156087.119;156087.119;944341;944341;OK
RBHR;807215;6;Small Medium Business (SMB);DOLIS D.O.O.;SME_10;3981.684252;3981.684252;807215;807215;OK
RBCZ;22265;11;Banks;Sberbank CZ as;FIN_10;216682;216682;22265;22265;OK
RBBY;575396;6;Small Medium Business (SMB);TEFIDA CHTUP;SME_10;38680.25089;38680.25089;575396;575396;OK
TLSK;2036361;6;Small Medium Business (SMB);Denny Trans s.r.o.;SME_10;423521.22;423521.22;2036361;2036361;OK
RBHU;437418;3;Corporates;ARSI-ARMCORP Zrt.;CORP_10;73.6722628;73.6722628;437418;437418;OK
RBBH;165965;6;Small Medium Business (SMB);INTER COLOR CENTAR DOO VOGOSCA;SME_10;2393.06586;2393.06586;165965;165965;OK
RBRO;147847;3;Corporates;VECTRA SERVICE SRL;CORP_10;8833.05039;8833.05039;147847;;OK
AVAL;280691;6;Small Medium Business (SMB);"TOV ""Druzhba-5""";SME_10;451293.147;451293.147;280691;280691;OK
AVAL;1998320;3;Corporates;"STOV ""Enohrai""";CORP_10;391754.6227;391754.6227;1998320;1998320;OK
RBAL;1794407;6;Small Medium Business (SMB);BLERON-01 SHPK;SME_10;315913.6436;315913.6436;1794407;1794407;OK
RLHR;1614584;3;Corporates;LANDWAYS D.O.O.;CORP_10;583352.92;583352.92;1614584;1614584;OK
RBRS;555261;6;Small Medium Business (SMB);PREDUZECE KEKEC DOO BEOGRAD   U PRI;SME_10;345.915869;345.915869;555261;555261;OK
RBRO;796330;3;Corporates;NORWEST ROMANIA SRL;CORP_10;344.9047611;344.9047611;796330;796330;OK
RBAL;696132;3;Corporates;ALBANIAN SHOES COORPORATION 2;CORP_10;2239192.536;2239192.536;696132;696132;OK
RBRO;239478;6;Small Medium Business (SMB);BURCIU UNIVERSAL SRL IN INSOLVENTA;SME_10;649.458311;649.458311;239478;;OK
RBRO;697774;3;Corporates;BEBE SUPERMARKET SRL;CORP_10;73.97870594;73.97870594;697774;697774;OK
RBBY;1037386;6;Small Medium Business (SMB);SAMOZHONOV SERGEJ NIKOLAEVICH IP;SME_10;59853.30635;59853.30635;1037386;1037386;OK
RBHU;1553194;6;Small Medium Business (SMB);Corozal Kft.;SME_10;90984.88609;90984.88609;1553194;1553194;OK
RBRS;119264;3;Corporates;LUKI- KOMERC DOO;CORP_10;878394.8961;878394.8961;119264;119264;OK
ALEASS;702384;6;Small Medium Business (SMB);VETROITALIA S.R.L.;SME_10;338955.64;338955.64;702384;;OK
RBRO;152160;3;Corporates;METAL GRUP INDUSTRIE S R L;CORP_10;353.1986547;353.1986547;152160;;OK
RBBH;175542;6;Small Medium Business (SMB);KUNOVAC COMPANY DOO ILIDZA;SME_10;50.11171728;50.11171728;;;OK
RBRS;1507247;6;Small Medium Business (SMB);JUPITER ADVISORY D.O.O. BEOGRAD;SME_10;30932.82418;30932.82418;1507247;1507247;OK
RBRO;181125;6;Small Medium Business (SMB);NEMAR CATERING SRL;SME_10;835.0942071;835.0942071;181125;181125;OK
AVAL;389595;3;Corporates;Organic Systems PE;CORP_10;4834967.94;4834967.94;389595;389595;OK
ALEASS;702361;6;Small Medium Business (SMB);IMMOBILIARE G.& G. S.R.L.;SME_10;26408.13;26408.13;702361;702361;OK
RBRO;1327395;6;Small Medium Business (SMB);NEW 4MAT SRL;SME_10;374.1266795;374.1266795;1327395;1327395;OK
RBBH;438022;6;Small Medium Business (SMB);DINO DOO TUZLA;SME_10;764.2279748;764.2279748;438022;438022;OK
TLSK;661392;6;Small Medium Business (SMB);AUTO V, s.r.o. ?v konkurze?;SME_10;73419.56;73419.56;661392;;OK
AVAL;320432;3;Corporates;"TDV ""Berdianskyi Khlibokombinat""";CORP_10;380680.1951;380680.1951;320432;320432;OK
AVAL;216790;6;Small Medium Business (SMB);"PP ""Pryvatne Silskohospodarske-Pidpryiemstvo ""Ukraina""";SME_10;277229.7721;277229.7721;216790;216790;OK
AVAL;799324;3;Corporates;"S(F)H ""Nyva""";CORP_10;629106.5436;629106.5436;799324;799324;OK
RBRS;1495031;3;Corporates;DIV LEK;CORP_10;107334.2473;107334.2473;1495031;1495031;OK
AVAL;177231;3;Corporates;TOV Druzhba;CORP_10;120543.0676;120543.0676;177231;177231;OK
CASRS;1791503;3;Corporates;EJ EXCLUSIVE DOO NOVI SAD;CORP_10;101384.32;101384.32;1791503;1791503;OK
AVAL;1576458;6;Small Medium Business (SMB);"PP ""TK""Avtolain""";SME_10;19850.03516;19850.03516;1576458;1576458;OK
RBBH;193675;3;Corporates;FAMOS ADI DOO SARAJEVO;CORP_10;218.781796;218.781796;;;OK
TBSK;649006;18;Specialised Lending Project (excl. Commodity);BioREn s. r. o.;SLOT_PF_6.5;620099.81;620099.81;649006;649006;OK
AVAL;812408;3;Corporates;"TOV ""Del'ta""";CORP_10;129363.0794;129363.0794;812408;812408;OK
AVAL;1449056;3;Corporates;"TOV ""Budivelna Kompaniia""";CORP_10;120063.2612;120063.2612;1449056;1449056;OK
RBAL;271896;3;Corporates;ULDEDAJ LIS SHPK;CORP_10;191.672398;191.672398;271896;;OK
AVAL;332159;6;Small Medium Business (SMB);SPD  DOROSHENKO S.V.;SME_10;991.305229;991.305229;;;OK
RBHU;1047656;6;Small Medium Business (SMB);Momosz Kft;SME_10;44236.52082;44236.52082;1047656;1047656;OK
RLHR;1435631;3;Corporates;MEDUNARODNA ZRACNA LUKA ZAGREB D.D.;CORP_10;1227154.51;1227154.51;1435631;1435631;OK
RBRO;807269;6;Small Medium Business (SMB);INNOSERV-TECHNOLOGY SRL;SME_10;3770.611174;3770.611174;807269;807269;OK
RBKO;124641;3;Corporates;INTERCOOP - GROUP SH.P.K.;CORP_10;1635018.95;1635018.95;124641;124641;OK
AVAL;2021750;6;Small Medium Business (SMB);"FH ""Khavelov I.P.""";SME_10;407162.7876;407162.7876;2021750;2021750;OK
RBAL;131256;3;Corporates;ABDURAMANI SHPK;CORP_10;681.4829725;681.4829725;131256;131256;OK
RBHR;109010;3;Corporates;TEMOS NEKRETNINE D.O.O. U STECAJU;CORP_10;563714.6261;563714.6261;109010;;OK
RBI;912016;3;Corporates;MFC Power Limited Partnership;CORP_10;8109530.548;8109530.548;912016;912016;OK
RBRO;653256;6;Small Medium Business (SMB);GREEN FABRONIS PREST SRL;SME_10;3344.33628;3344.33628;653256;653256;OK
RBI;776264;54;Purchased Receivables ? Pool Corporate;Forderungspool w/Card Complete Schadensfälle Kunden;CORP_10;2066388.51;2066388.51;776264;776264;OK
TBSK;208174;3;Corporates;A-Z LOKOMAT, s.r.o.;CORP_10;25336.62;25336.62;208174;208174;OK
AVAL;504883;6;Small Medium Business (SMB);"VKF ""Yuna-Servis""";SME_10;140545.0825;140545.0825;504883;504883;OK
RBRO;322598;3;Corporates;SIMON PRODCOM SRL;CORP_10;272.6705824;272.6705824;322598;322598;OK
RBHR;911628;6;Small Medium Business (SMB);PANINO D.O.O;SME_10;84303.98234;84303.98234;911628;911628;OK
RBBH;755440;6;Small Medium Business (SMB);JIM DOO MOSTAR;SME_10;46382.34407;46382.34407;755440;755440;OK
AVAL;290134;6;Small Medium Business (SMB);"TOV ""MIKA""";SME_10;3.209160225;3.209160225;;;OK
AVAL;1983960;3;Corporates;"TOV ""Ipris-Profil""";CORP_10;2959985.994;2959985.994;1983960;1983960;OK
RBCZ;2049311;3;Corporates;BIOPLYN JÍLOVÉ S.R.O.;CORP_10;1309425.654;1309425.654;2049311;2049311;OK
RBRU;1493117;6;Small Medium Business (SMB);REZNIKOVA SVETLANA VLADIMIROVNA (;SME_10;418.8111056;418.8111056;1493117;1493117;OK
RBBH;738351;3;Corporates;MONTECRISTO BH DOO;CORP_10;266512.2987;266512.2987;738351;738351;OK
AVAL;910874;6;Small Medium Business (SMB);"TOV ""Dzhem""";SME_10;18014.14915;18014.14915;910874;910874;OK
RBHU;495487;3;Corporates;ALFA-NOVA Bioenergia Termelõ és Szo-lgáltató Kft.;CORP_10;766.692768;766.692768;495487;495487;OK
RBBH;167134;4;Government-Owned Commercial Undertaking;UKUS  DOO JP KLJUC;CORP_10;1464.687626;1464.687626;167134;167134;OK
RBBH;183612;6;Small Medium Business (SMB);HR COMERC DOO SANSKI MOST;SME_10;176725.9169;176725.9169;183612;;OK
RBBH;1056441;6;Small Medium Business (SMB);SOMBRERO DOO BRCKO;SME_10;46717.9305;46717.9305;1056441;1056441;OK
RBBH;127842;3;Corporates;BITUMENKA DD SARAJEVO;CORP_10;10.17470844;10.17470844;;;OK
RBRO;764491;6;Small Medium Business (SMB);BIOTECHNIK SRL;SME_10;246.86534;246.86534;764491;764491;OK
TBSK;101964;6;Small Medium Business (SMB);IZSAK Company, s.r.o.;SME_10;220093.98;220093.98;101964;101964;OK
RBRS;1250514;6;Small Medium Business (SMB);DEIXA DOO;SME_10;35167.70432;35167.70432;1250514;1250514;OK
RBBH;223396;6;Small Medium Business (SMB);GRAZIT DOO MOSTAR;SME_10;13.7537516;13.7537516;223396;223396;OK
AVAL;717572;3;Corporates;"TOV ""IN TERRA""";CORP_10;722241.7548;722241.7548;717572;717572;OK
AVAL;388955;6;Small Medium Business (SMB);SPD MENTII T.M.;SME_10;12.13370644;12.13370644;;;OK
RBHU;914059;6;Small Medium Business (SMB);IMMOFIX Kereskedelmi Korlátolt Fele-lõsségû Társaság;SME_10;163.8750218;163.8750218;914059;914059;OK
